stage,epoch,train_loss,train_acc,test_loss,test_acc,micro_f1,macro_f1,cough_f1,cough_precision,cough_recall,non_cough_f1,non_cough_precision,non_cough_recall,learning_rate
Stage1,1,0.674547,0.887868,0.638931,93.065693,0.930657,0.482042,0.000000,0.000000,0.000000,0.964083,0.930657,1.000000,0.00010000
Stage1,2,0.488826,0.929228,0.302778,93.065693,0.930657,0.482042,0.000000,0.000000,0.000000,0.964083,0.930657,1.000000,0.00009998
Stage1,3,0.283507,0.930147,0.282925,93.065693,0.930657,0.482042,0.000000,0.000000,0.000000,0.964083,0.930657,1.000000,0.00009990
Stage1,4,0.266455,0.930147,0.274991,93.065693,0.930657,0.482042,0.000000,0.000000,0.000000,0.964083,0.930657,1.000000,0.00009978
Stage1,5,0.256602,0.929228,0.256409,93.065693,0.930657,0.482042,0.000000,0.000000,0.000000,0.964083,0.930657,1.000000,0.00009961
Stage1,6,0.241421,0.929228,0.242600,93.065693,0.930657,0.482042,0.000000,0.000000,0.000000,0.964083,0.930657,1.000000,0.00009938
Stage1,7,0.230494,0.929228,0.265360,93.065693,0.930657,0.482042,0.000000,0.000000,0.000000,0.964083,0.930657,1.000000,0.00009911
Stage1,8,0.217127,0.929228,0.218119,93.065693,0.930657,0.482042,0.000000,0.000000,0.000000,0.964083,0.930657,1.000000,0.00009880
Stage1,9,0.197648,0.933824,0.209664,93.430657,0.934307,0.532955,0.100000,1.000000,0.052632,0.965909,0.934066,1.000000,0.00009843
Stage1,10,0.186078,0.939338,0.214540,94.890511,0.948905,0.717359,0.461538,0.857143,0.315789,0.973180,0.951311,0.996078,0.00009801
Stage1,11,0.188666,0.939338,0.195115,93.795620,0.937956,0.579109,0.190476,1.000000,0.105263,0.967742,0.937500,1.000000,0.00009755
Stage1,12,0.170563,0.948529,0.189884,94.525547,0.945255,0.659627,0.347826,1.000000,0.210526,0.971429,0.944444,1.000000,0.00009704
Stage1,13,0.165386,0.954963,0.193992,95.620438,0.956204,0.788417,0.600000,0.818182,0.473684,0.976834,0.961977,0.992157,0.00009649
Stage1,14,0.159051,0.956801,0.175388,95.620438,0.956204,0.757737,0.538462,1.000000,0.368421,0.977011,0.955056,1.000000,0.00009589
Stage1,15,0.154229,0.959559,0.174877,94.890511,0.948905,0.694975,0.416667,1.000000,0.263158,0.973282,0.947955,1.000000,0.00009524
Stage1,16,0.148831,0.961397,0.190528,93.065693,0.930657,0.482042,0.000000,0.000000,0.000000,0.964083,0.930657,1.000000,0.00009455
Stage1,17,0.163676,0.954044,0.191418,93.065693,0.930657,0.482042,0.000000,0.000000,0.000000,0.964083,0.930657,1.000000,0.00009382
Stage1,18,0.149209,0.964154,0.163377,95.620438,0.956204,0.774176,0.571429,0.888889,0.421053,0.976923,0.958491,0.996078,0.00009304
Stage1,19,0.135225,0.969669,0.165423,95.620438,0.956204,0.757737,0.538462,1.000000,0.368421,0.977011,0.955056,1.000000,0.00009222
Stage1,20,0.129593,0.975184,0.163757,97.080292,0.970803,0.858945,0.733333,1.000000,0.578947,0.984556,0.969582,1.000000,0.00009135
Stage1,21,0.134787,0.970588,0.164548,96.715328,0.967153,0.836157,0.689655,1.000000,0.526316,0.982659,0.965909,1.000000,0.00009045
Stage1,22,0.123924,0.980699,0.156469,97.080292,0.970803,0.858945,0.733333,1.000000,0.578947,0.984556,0.969582,1.000000,0.00008951
Stage1,23,0.118750,0.979779,0.161618,95.255474,0.952555,0.727572,0.480000,1.000000,0.315789,0.975143,0.951493,1.000000,0.00008853
Stage1,24,0.115715,0.984375,0.182917,94.890511,0.948905,0.694975,0.416667,1.000000,0.263158,0.973282,0.947955,1.000000,0.00008751
Stage1,25,0.112507,0.983456,0.151931,96.715328,0.967153,0.836157,0.689655,1.000000,0.526316,0.982659,0.965909,1.000000,0.00008645
Stage1,26,0.113727,0.982537,0.153189,97.080292,0.970803,0.858945,0.733333,1.000000,0.578947,0.984556,0.969582,1.000000,0.00008536
Stage1,27,0.106087,0.988971,0.148679,97.080292,0.970803,0.858945,0.733333,1.000000,0.578947,0.984556,0.969582,1.000000,0.00008423
Stage1,28,0.102021,0.988051,0.156698,94.890511,0.948905,0.694975,0.416667,1.000000,0.263158,0.973282,0.947955,1.000000,0.00008307
Stage1,29,0.100260,0.988051,0.172387,94.890511,0.948905,0.694975,0.416667,1.000000,0.263158,0.973282,0.947955,1.000000,0.00008187
Stage1,30,0.100300,0.988051,0.140171,97.445255,0.974453,0.880327,0.774194,1.000000,0.631579,0.986460,0.973282,1.000000,0.00008065
Stage1,31,0.095165,0.991728,0.135330,97.080292,0.970803,0.867248,0.750000,0.923077,0.631579,0.984496,0.973180,0.996078,0.00007939
Stage1,32,0.089885,0.989890,0.162393,94.890511,0.948905,0.694975,0.416667,1.000000,0.263158,0.973282,0.947955,1.000000,0.00007810
Stage1,33,0.088653,0.989890,0.134872,97.810219,0.978102,0.905928,0.823529,0.933333,0.736842,0.988327,0.980695,0.996078,0.00007679
Stage1,34,0.086519,0.993566,0.138876,96.715328,0.967153,0.836157,0.689655,1.000000,0.526316,0.982659,0.965909,1.000000,0.00007545
Stage1,35,0.085227,0.992647,0.145128,95.985401,0.959854,0.785740,0.592593,1.000000,0.421053,0.978887,0.958647,1.000000,0.00007409
Stage1,36,0.084719,0.994485,0.139178,97.080292,0.970803,0.858945,0.733333,1.000000,0.578947,0.984556,0.969582,1.000000,0.00007270
Stage1,37,0.082347,0.994485,0.134924,97.080292,0.970803,0.867248,0.750000,0.923077,0.631579,0.984496,0.973180,0.996078,0.00007129
Stage1,38,0.084709,0.993566,0.135942,96.715328,0.967153,0.869572,0.756757,0.777778,0.736842,0.982387,0.980469,0.984314,0.00006986
Stage1,39,0.080084,0.995404,0.131683,97.445255,0.974453,0.898556,0.810811,0.833333,0.789474,0.986301,0.984375,0.988235,0.00006841
Stage1,40,0.080212,0.993566,0.129203,97.810219,0.978102,0.905928,0.823529,0.933333,0.736842,0.988327,0.980695,0.996078,0.00006694
Stage1,41,0.077474,0.998162,0.131185,97.445255,0.974453,0.893177,0.800000,0.875000,0.736842,0.986355,0.980620,0.992157,0.00006545
Stage1,42,0.075404,0.997243,0.136883,97.080292,0.970803,0.867248,0.750000,0.923077,0.631579,0.984496,0.973180,0.996078,0.00006395
Stage1,43,0.075704,0.997243,0.134716,97.445255,0.974453,0.880327,0.774194,1.000000,0.631579,0.986460,0.973282,1.000000,0.00006243
Stage2,1,0.851219,0.910156,0.164496,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000990
Stage2,2,0.209067,0.925781,0.218266,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000986
Stage2,3,0.122231,0.929688,0.163303,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000974
Stage2,4,0.086152,0.929688,0.170633,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000955
Stage2,5,0.092131,0.935547,0.187164,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000929
Stage2,6,0.050218,0.933594,0.171069,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000895
Stage2,7,0.060465,0.935547,0.191954,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000856
Stage2,8,0.054454,0.945312,0.157184,93.798450,0.937984,0.583871,0.200000,1.000000,0.111111,0.967742,0.937500,1.000000,0.00000811
Stage2,9,0.054843,0.941406,0.172577,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000760
Stage2,10,0.052430,0.927734,0.191970,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000706
Stage2,11,0.055336,0.935547,0.195815,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000648
Stage2,12,0.052542,0.939453,0.184497,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000588
Stage2,13,0.052578,0.935547,0.182694,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000526
Stage2,14,0.054115,0.937500,0.172316,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000464
Stage2,15,0.044245,0.931641,0.171460,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000402
Stage2,16,0.039981,0.935547,0.154893,94.573643,0.945736,0.667648,0.363636,1.000000,0.222222,0.971660,0.944882,1.000000,0.00000342
Stage2,17,0.043322,0.943359,0.163734,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000284
Stage2,18,0.041264,0.935547,0.176119,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000230
Stage2,19,0.040349,0.933594,0.163824,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000179
Stage2,20,0.040948,0.939453,0.164753,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000134
Stage2,21,0.035244,0.937500,0.168489,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000095
Stage2,22,0.045358,0.931641,0.166320,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000061
Stage2,23,0.037425,0.939453,0.167830,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000035
Stage2,24,0.039815,0.931641,0.168483,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000016
Stage2,25,0.041896,0.933594,0.168903,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000004
