stage,epoch,train_loss,train_acc,test_loss,test_acc,micro_f1,macro_f1,cough_f1,cough_precision,cough_recall,non_cough_f1,non_cough_precision,non_cough_recall,learning_rate
Stage1,1,0.159805,0.108456,0.154384,6.934307,0.069343,0.064846,0.129693,0.069343,1.000000,0.000000,0.000000,0.000000,0.00010000
Stage1,2,0.124608,0.070772,0.068796,6.934307,0.069343,0.064846,0.129693,0.069343,1.000000,0.000000,0.000000,0.000000,0.00009998
Stage1,3,0.067187,0.069853,0.060031,6.934307,0.069343,0.064846,0.129693,0.069343,1.000000,0.000000,0.000000,0.000000,0.00009990
Stage1,4,0.059875,0.069853,0.057962,6.934307,0.069343,0.064846,0.129693,0.069343,1.000000,0.000000,0.000000,0.000000,0.00009978
Stage1,5,0.055771,0.070772,0.052611,6.934307,0.069343,0.064846,0.129693,0.069343,1.000000,0.000000,0.000000,0.000000,0.00009961
Stage1,6,0.049639,0.070772,0.049329,6.934307,0.069343,0.064846,0.129693,0.069343,1.000000,0.000000,0.000000,0.000000,0.00009938
Stage1,7,0.044636,0.070772,0.047547,6.934307,0.069343,0.064846,0.129693,0.069343,1.000000,0.000000,0.000000,0.000000,0.00009911
Stage1,8,0.039394,0.075368,0.043436,7.299270,0.072993,0.068975,0.130137,0.069597,1.000000,0.007812,1.000000,0.003922,0.00009880
Stage1,9,0.034842,0.086397,0.040898,10.583942,0.105839,0.104874,0.134276,0.071970,1.000000,0.075472,1.000000,0.039216,0.00009843
Stage1,10,0.029900,0.125919,0.041432,12.773723,0.127737,0.127633,0.137184,0.073643,1.000000,0.118081,1.000000,0.062745,0.00009801
Stage1,11,0.028485,0.169118,0.036039,21.167883,0.211679,0.207456,0.149606,0.080851,1.000000,0.265306,1.000000,0.152941,0.00009755
Stage1,12,0.025627,0.216912,0.035671,26.277372,0.262774,0.251245,0.158333,0.085973,1.000000,0.344156,1.000000,0.207843,0.00009704
Stage1,13,0.021549,0.242647,0.031972,25.547445,0.255474,0.245179,0.157025,0.085202,1.000000,0.333333,1.000000,0.200000,0.00009649
Stage1,14,0.018763,0.320772,0.030021,28.467153,0.284672,0.269095,0.162393,0.088372,1.000000,0.375796,1.000000,0.231373,0.00009589
Stage1,15,0.018545,0.315257,0.031543,39.781022,0.397810,0.354466,0.187192,0.103261,1.000000,0.521739,1.000000,0.352941,0.00009524
Stage1,16,0.015329,0.386029,0.038103,54.744526,0.547445,0.456662,0.234568,0.132867,1.000000,0.678756,1.000000,0.513725,0.00009455
Stage1,17,0.017027,0.375000,0.045342,63.138686,0.631387,0.513219,0.273381,0.158333,1.000000,0.753056,1.000000,0.603922,0.00009382
Stage1,18,0.017586,0.356618,0.029031,51.459854,0.514599,0.434719,0.222222,0.125000,1.000000,0.647215,1.000000,0.478431,0.00009304
Stage1,19,0.011929,0.493566,0.031536,52.554745,0.525547,0.442043,0.226190,0.127517,1.000000,0.657895,1.000000,0.490196,0.00009222
Stage1,20,0.009325,0.482537,0.026161,47.445255,0.474453,0.407674,0.208791,0.116564,1.000000,0.606557,1.000000,0.435294,0.00009135
Stage1,21,0.009432,0.537684,0.028822,41.970803,0.419708,0.369951,0.192893,0.106742,1.000000,0.547009,1.000000,0.376471,0.00009045
Stage1,22,0.008369,0.527574,0.025434,54.379562,0.543796,0.454227,0.233129,0.131944,1.000000,0.675325,1.000000,0.509804,0.00008951
Stage1,23,0.006265,0.601103,0.026183,64.598540,0.645985,0.523307,0.281481,0.163793,1.000000,0.765133,1.000000,0.619608,0.00008853
Stage1,24,0.005465,0.647978,0.028516,64.233577,0.642336,0.520774,0.279412,0.162393,1.000000,0.762136,1.000000,0.615686,0.00008751
Stage1,25,0.004786,0.692096,0.027822,72.627737,0.726277,0.581935,0.336283,0.202128,1.000000,0.827586,1.000000,0.705882,0.00008645
Stage1,26,0.004994,0.693015,0.028789,73.722628,0.737226,0.590535,0.345455,0.208791,1.000000,0.835616,1.000000,0.717647,0.00008536
Stage1,27,0.003515,0.706801,0.028741,76.642336,0.766423,0.614526,0.372549,0.228916,1.000000,0.856502,1.000000,0.749020,0.00008423
Stage1,28,0.002976,0.754596,0.030025,78.467153,0.784672,0.630466,0.391753,0.243590,1.000000,0.869180,1.000000,0.768627,0.00008307
Stage1,29,0.002803,0.760110,0.032010,77.737226,0.777372,0.623990,0.383838,0.237500,1.000000,0.864143,1.000000,0.760784,0.00008187
Stage1,30,0.002219,0.784007,0.028689,79.927007,0.799270,0.643862,0.408602,0.256757,1.000000,0.879121,1.000000,0.784314,0.00008065
Stage1,31,0.002140,0.792279,0.037113,83.941606,0.839416,0.677991,0.450000,0.295082,0.947368,0.905983,0.995305,0.831373,0.00007939
Stage1,32,0.002128,0.795956,0.036971,84.671533,0.846715,0.686088,0.461538,0.305085,0.947368,0.910638,0.995349,0.839216,0.00007810
Stage1,33,0.001654,0.820772,0.025322,78.832117,0.788321,0.633757,0.395833,0.246753,1.000000,0.871681,1.000000,0.772549,0.00007679
Stage1,34,0.001357,0.852941,0.030893,83.576642,0.835766,0.674042,0.444444,0.290323,0.947368,0.903640,0.995283,0.827451,0.00007545
Stage1,35,0.001146,0.842831,0.026570,80.656934,0.806569,0.650804,0.417582,0.263889,1.000000,0.884026,1.000000,0.792157,0.00007409
Stage1,36,0.001033,0.863051,0.034890,85.036496,0.850365,0.690242,0.467532,0.310345,0.947368,0.912951,0.995370,0.843137,0.00007270
