stage,epoch,train_loss,train_acc,test_loss,test_acc,micro_f1,macro_f1,cough_f1,cough_precision,cough_recall,non_cough_f1,non_cough_precision,non_cough_recall,learning_rate
Stage1,1,1.038211,0.488051,0.124317,6.934307,0.069343,0.064846,0.129693,0.069343,1.000000,0.000000,0.000000,0.000000,0.00010000
Stage1,2,0.424014,0.517463,0.165688,6.934307,0.069343,0.064846,0.129693,0.069343,1.000000,0.000000,0.000000,0.000000,0.00009998
Stage1,3,0.140435,0.517463,0.151410,6.934307,0.069343,0.064846,0.129693,0.069343,1.000000,0.000000,0.000000,0.000000,0.00009990
Stage1,4,0.121860,0.491728,0.105533,6.934307,0.069343,0.064846,0.129693,0.069343,1.000000,0.000000,0.000000,0.000000,0.00009978
Stage1,5,0.110865,0.492647,0.091101,6.934307,0.069343,0.064846,0.129693,0.069343,1.000000,0.000000,0.000000,0.000000,0.00009961
Stage1,6,0.095112,0.458640,0.085548,6.934307,0.069343,0.064846,0.129693,0.069343,1.000000,0.000000,0.000000,0.000000,0.00009938
Stage1,7,0.083907,0.525735,0.087502,6.934307,0.069343,0.064846,0.129693,0.069343,1.000000,0.000000,0.000000,0.000000,0.00009911
Stage1,8,0.073275,0.505515,0.055212,6.934307,0.069343,0.064846,0.129693,0.069343,1.000000,0.000000,0.000000,0.000000,0.00009880
Stage1,9,0.065972,0.503676,0.053165,6.934307,0.069343,0.064846,0.129693,0.069343,1.000000,0.000000,0.000000,0.000000,0.00009843
Stage1,10,0.055278,0.500000,0.057166,6.934307,0.069343,0.064846,0.129693,0.069343,1.000000,0.000000,0.000000,0.000000,0.00009801
Stage1,11,0.049293,0.491728,0.052512,6.934307,0.069343,0.064846,0.129693,0.069343,1.000000,0.000000,0.000000,0.000000,0.00009755
Stage2,1,0.576121,0.070312,0.702212,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000990
Stage2,2,0.015579,0.070312,2.198069,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000986
Stage2,3,0.006194,0.070312,3.023281,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000974
Stage2,4,0.005876,0.070312,3.568722,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000955
Stage2,5,0.003259,0.070312,4.025428,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000929
Stage2,6,0.000775,0.070312,4.322563,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000895
Stage2,7,0.001772,0.070312,4.674551,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000856
Stage2,8,0.000663,0.070312,4.921012,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000811
Stage2,9,0.000121,0.070312,5.076985,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000760
Stage2,10,0.000225,0.070312,5.167712,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000706
Stage2,11,0.000435,0.070312,5.312568,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000648
Stage2,12,0.000548,0.070312,5.494770,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000588
Stage2,13,0.000199,0.070312,5.612058,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000526
Stage2,14,0.000238,0.070312,5.673335,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000464
Stage2,15,0.000504,0.070312,5.788455,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000402
Stage2,16,0.000442,0.070312,5.900207,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000342
Stage2,17,0.000206,0.070312,5.989930,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000284
Stage2,18,0.000047,0.070312,6.027227,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000230
Stage2,19,0.000277,0.070312,6.056584,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000179
Stage2,20,0.000319,0.070312,6.102755,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000134
Stage2,21,0.000126,0.070312,6.123033,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000095
Stage2,22,0.000239,0.068359,6.136346,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000061
Stage2,23,0.000127,0.070312,6.143227,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000035
Stage2,24,0.000126,0.070312,6.146117,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000016
Stage2,25,0.000129,0.070312,6.146840,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000004
