stage,epoch,train_total_loss,train_ce_loss,train_distill_loss,train_acc,test_loss,test_acc,micro_f1,macro_f1,cough_f1,cough_precision,cough_recall,non_cough_f1,non_cough_precision,non_cough_recall,learning_rate
Stage2,1,0.965596,0.360325,1.210542,0.865234,0.186796,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000990
Stage2,2,0.323888,0.181602,0.284573,0.937500,0.143083,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000986
Stage2,3,0.216754,0.115886,0.201735,0.945312,0.138685,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000974
Stage2,4,0.183447,0.117100,0.132695,0.953125,0.149405,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000955
Stage2,5,0.156384,0.093245,0.126279,0.941406,0.134343,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000929
Stage2,6,0.156811,0.122391,0.344202,0.951172,0.145579,94.573643,0.945736,0.779595,0.588235,0.625000,0.555556,0.970954,0.966942,0.975000,0.00000895
Stage2,7,0.107911,0.089224,0.186877,0.947266,0.174833,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000856
Stage2,8,0.088449,0.070689,0.177591,0.955078,0.148232,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000811
Stage2,9,0.107039,0.081778,0.252602,0.937500,0.178079,94.573643,0.945736,0.716484,0.461538,0.750000,0.333333,0.971429,0.952000,0.991667,0.00000760
Stage2,10,0.103553,0.085388,0.181649,0.939453,0.150568,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000706
Stage2,11,0.120109,0.088788,0.313213,0.941406,0.162948,94.573643,0.945736,0.752263,0.533333,0.666667,0.444444,0.971193,0.959350,0.983333,0.00000648
Stage2,12,0.081130,0.063367,0.177628,0.937500,0.153006,94.573643,0.945736,0.752263,0.533333,0.666667,0.444444,0.971193,0.959350,0.983333,0.00000588
Stage2,13,0.074148,0.061427,0.127206,0.947266,0.153600,94.573643,0.945736,0.752263,0.533333,0.666667,0.444444,0.971193,0.959350,0.983333,0.00000526
Stage2,14,0.084944,0.069203,0.157410,0.945312,0.168499,94.573643,0.945736,0.779595,0.588235,0.625000,0.555556,0.970954,0.966942,0.975000,0.00000464
Stage2,15,0.076650,0.060761,0.158892,0.935547,0.160432,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000402
Stage2,16,0.068040,0.055408,0.126323,0.941406,0.157076,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000342
Stage2,17,0.069994,0.058431,0.115628,0.945312,0.162391,94.573643,0.945736,0.752263,0.533333,0.666667,0.444444,0.971193,0.959350,0.983333,0.00000284
Stage2,18,0.067779,0.056391,0.113880,0.941406,0.168754,93.798450,0.937984,0.733471,0.500000,0.571429,0.444444,0.966942,0.959016,0.975000,0.00000230
Stage2,19,0.057652,0.047261,0.103910,0.939453,0.166767,93.798450,0.937984,0.733471,0.500000,0.571429,0.444444,0.966942,0.959016,0.975000,0.00000179
Stage2,20,0.054193,0.042288,0.119055,0.941406,0.167753,94.573643,0.945736,0.752263,0.533333,0.666667,0.444444,0.971193,0.959350,0.983333,0.00000134
Stage2,21,0.059314,0.046760,0.125545,0.947266,0.167824,93.798450,0.937984,0.733471,0.500000,0.571429,0.444444,0.966942,0.959016,0.975000,0.00000095
Stage2,22,0.050135,0.038922,0.112127,0.937500,0.168108,93.798450,0.937984,0.733471,0.500000,0.571429,0.444444,0.966942,0.959016,0.975000,0.00000061
Stage2,23,0.052463,0.041798,0.106650,0.939453,0.169178,93.798450,0.937984,0.733471,0.500000,0.571429,0.444444,0.966942,0.959016,0.975000,0.00000035
Stage2,24,0.059875,0.048163,0.117124,0.927734,0.169662,93.798450,0.937984,0.733471,0.500000,0.571429,0.444444,0.966942,0.959016,0.975000,0.00000016
Stage2,25,0.057414,0.045857,0.115565,0.945312,0.169553,93.798450,0.937984,0.733471,0.500000,0.571429,0.444444,0.966942,0.959016,0.975000,0.00000004
