stage,epoch,train_total_loss,train_ce_loss,train_distill_loss,train_acc,test_loss,test_acc,micro_f1,macro_f1,cough_f1,cough_precision,cough_recall,non_cough_f1,non_cough_precision,non_cough_recall,learning_rate
Stage2,1,1.009733,0.381745,1.255976,0.871094,0.233735,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000990
Stage2,2,0.269567,0.165043,0.209048,0.947266,0.123941,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000986
Stage2,3,0.311799,0.151736,0.320125,0.951172,0.160283,93.798450,0.937984,0.650407,0.333333,0.666667,0.222222,0.967480,0.944444,0.991667,0.00000974
Stage2,4,0.263154,0.121193,0.283923,0.937500,0.211852,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000955
Stage2,5,0.219496,0.115571,0.207849,0.953125,0.139507,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000929
Stage2,6,0.149740,0.129988,0.197512,0.953125,0.141824,94.573643,0.945736,0.716484,0.461538,0.750000,0.333333,0.971429,0.952000,0.991667,0.00000895
Stage2,7,0.174073,0.125804,0.482692,0.947266,0.157451,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000856
Stage2,8,0.140271,0.116912,0.233590,0.955078,0.123665,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000811
Stage2,9,0.105319,0.083147,0.221719,0.953125,0.138857,94.573643,0.945736,0.752263,0.533333,0.666667,0.444444,0.971193,0.959350,0.983333,0.00000760
Stage2,10,0.158285,0.132770,0.255147,0.953125,0.124435,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000706
Stage2,11,0.145010,0.109380,0.356299,0.957031,0.116692,94.573643,0.945736,0.752263,0.533333,0.666667,0.444444,0.971193,0.959350,0.983333,0.00000648
Stage2,12,0.109457,0.089525,0.199317,0.972656,0.134237,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000588
Stage2,13,0.122937,0.098334,0.246022,0.958984,0.133618,94.573643,0.945736,0.752263,0.533333,0.666667,0.444444,0.971193,0.959350,0.983333,0.00000526
Stage2,14,0.117254,0.102189,0.150651,0.957031,0.133056,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000464
Stage2,15,0.119208,0.101146,0.180620,0.972656,0.122420,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000402
Stage2,16,0.102705,0.087687,0.150181,0.968750,0.130422,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000342
Stage2,17,0.105207,0.093362,0.118453,0.968750,0.126013,94.573643,0.945736,0.752263,0.533333,0.666667,0.444444,0.971193,0.959350,0.983333,0.00000284
Stage2,18,0.104222,0.089631,0.145903,0.962891,0.128472,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000230
Stage2,19,0.135066,0.122067,0.129990,0.960938,0.134290,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000179
Stage2,20,0.098389,0.086363,0.120261,0.964844,0.128336,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000134
Stage2,21,0.101670,0.086525,0.151452,0.968750,0.124055,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000095
Stage2,22,0.083179,0.067997,0.151819,0.972656,0.128502,94.573643,0.945736,0.752263,0.533333,0.666667,0.444444,0.971193,0.959350,0.983333,0.00000061
Stage2,23,0.101035,0.090255,0.107803,0.962891,0.129959,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000035
Stage2,24,0.097918,0.085987,0.119312,0.964844,0.130148,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000016
Stage2,25,0.089984,0.080906,0.090778,0.964844,0.129320,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000004
