stage,epoch,train_total_loss,train_ce_loss,train_distill_loss,train_acc,test_loss,test_acc,micro_f1,macro_f1,cough_f1,cough_precision,cough_recall,non_cough_f1,non_cough_precision,non_cough_recall,learning_rate
Stage2,1,0.515043,0.515043,0.000000,0.074219,0.963956,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000990
Stage2,2,0.189547,0.189547,0.000000,0.070312,1.894213,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000986
Stage2,3,0.038864,0.038864,0.000000,0.070312,3.142890,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000974
Stage2,4,0.010543,0.010543,0.000000,0.070312,3.953755,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000955
Stage2,5,0.004604,0.004604,0.000000,0.070312,4.503543,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000929
Stage2,6,0.002787,0.002787,0.000000,0.070312,4.915741,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000895
Stage2,7,0.001962,0.001962,0.000000,0.070312,5.283110,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000856
Stage2,8,0.001295,0.001295,0.000000,0.070312,5.573293,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000811
Stage2,9,0.000998,0.000998,0.000000,0.070312,5.805802,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000760
Stage2,10,0.000758,0.000758,0.000000,0.068359,6.008612,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000706
Stage2,11,0.000621,0.000621,0.000000,0.070312,6.184341,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000648
Stage2,12,0.000612,0.000612,0.000000,0.070312,6.346500,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000588
Stage2,13,0.000478,0.000478,0.000000,0.070312,6.485133,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000526
Stage2,14,0.000382,0.000382,0.000000,0.068359,6.595570,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000464
Stage2,15,0.000356,0.000356,0.000000,0.070312,6.689450,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000402
Stage2,16,0.000344,0.000344,0.000000,0.070312,6.770148,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000342
Stage2,17,0.000285,0.000285,0.000000,0.070312,6.831621,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000284
Stage2,18,0.000288,0.000288,0.000000,0.070312,6.884242,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000230
Stage2,19,0.000276,0.000276,0.000000,0.070312,6.923474,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000179
Stage2,20,0.000263,0.000263,0.000000,0.070312,6.954536,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000134
Stage2,21,0.000246,0.000246,0.000000,0.070312,6.974834,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000095
Stage2,22,0.000238,0.000238,0.000000,0.070312,6.988894,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000061
Stage2,23,0.000227,0.000227,0.000000,0.070312,6.996375,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000035
Stage2,24,0.000247,0.000247,0.000000,0.070312,7.000027,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000016
Stage2,25,0.000236,0.000236,0.000000,0.068359,7.000915,6.976744,0.069767,0.065217,0.130435,0.069767,1.000000,0.000000,0.000000,0.000000,0.00000004
