stage,epoch,train_loss,train_acc,test_loss,test_acc,micro_f1,macro_f1,cough_f1,cough_precision,cough_recall,non_cough_f1,non_cough_precision,non_cough_recall,learning_rate
Stage2,1,1.314098,0.865234,0.263931,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000990
Stage2,2,0.338662,0.935547,0.160585,93.798450,0.937984,0.583871,0.200000,1.000000,0.111111,0.967742,0.937500,1.000000,0.00000986
Stage2,3,0.256579,0.951172,0.154641,93.798450,0.937984,0.583871,0.200000,1.000000,0.111111,0.967742,0.937500,1.000000,0.00000974
Stage2,4,0.216523,0.953125,0.134568,96.899225,0.968992,0.848946,0.714286,1.000000,0.555556,0.983607,0.967742,1.000000,0.00000955
Stage2,5,0.225311,0.955078,0.141006,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000929
Stage2,6,0.135229,0.962891,0.142762,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000895
Stage2,7,0.172698,0.958984,0.140934,96.124031,0.961240,0.823045,0.666667,0.833333,0.555556,0.979424,0.967480,0.991667,0.00000856
Stage2,8,0.160427,0.962891,0.133159,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000811
Stage2,9,0.143054,0.958984,0.134655,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000760
Stage2,10,0.150399,0.955078,0.154284,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000706
Stage2,11,0.140008,0.968750,0.144963,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000648
Stage2,12,0.128228,0.968750,0.140038,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000588
Stage2,13,0.127679,0.955078,0.140572,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000526
Stage2,14,0.117228,0.955078,0.142356,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000464
Stage2,15,0.124922,0.958984,0.140789,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000402
Stage2,16,0.122059,0.962891,0.138467,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000342
Stage2,17,0.115641,0.953125,0.150481,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000284
Stage2,18,0.134549,0.951172,0.135606,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000230
Stage2,19,0.123885,0.953125,0.147711,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000179
Stage2,20,0.123323,0.955078,0.138855,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000134
Stage2,21,0.118742,0.955078,0.139912,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000095
Stage2,22,0.123338,0.947266,0.136321,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000061
Stage2,23,0.117547,0.951172,0.137883,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000035
Stage2,24,0.138607,0.947266,0.139233,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000016
Stage2,25,0.140814,0.945312,0.138244,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000004
